key,name,cap,document_date,url,header,cash_flow,dollar_sign,debt_flow
PKO,PEAKO LIMITED,4707315,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s26jvp9qw6wp.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,601000.0,$A,0.0
KAL,KALGOORLIE GOLD MINING LIMITED,4723022,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4yjqqlng9j7.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1455000.0,$A,check
SLZ,SULTAN RESOURCES LTD,4742082,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2s23dq9fqtk.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1346000.0,$A,0.0
SRI,SIPA RESOURCES LIMITED,4791321,2023-07-27,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1hnp5v7vlxj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1857000.0,$A,0.0
SIS,SIMBLE SOLUTIONS LIMITED,4823606,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4gzb3xpf13g.pdf,Appendix 4C and Quarterly Activities Report,982000.0,$A,91000.0
EX1,EXOPHARM LIMITED,4833654,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1lfmshgz9h5.pdf,Quarterly Activities Report and Appendix 4C,1643000.0,$A,0.0
RBR,RBR GROUP LIMITED,4855214,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5k0nj2w74rh.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,299000.0,$A,1500000.0
ROC,ROCKETBOOTS LIMITED,4883080,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5btq01z7lhn.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1638000.0,$A,check
ERW,ERRAWARRA RESOURCES LTD,4900824,2023-07-21,https://announcements.asx.com.au/asxpdf/20230721/pdf/05rvcnkbw43z62.pdf,Errawarra - Quarterly Activities and Cash Flow Reports,check,,check
AL8,ALDERAN RESOURCES LIMITED,4933557,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2pds4bnsqsb.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,235000.0,$A,0.0
TD1,TALI DIGITAL LIMITED,4942733,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3zpt7d2s6ps.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,2987000.0,$A,504000.0
